"Entry Title","Entry ID","MMGBSA dG Bind"
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1926",128,-78.594809
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1927",129,-82.467497
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1928",130,-77.110236
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1929",131,-79.725323
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1930",132,-80.349022
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1931",133,-78.242043
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1932",134,-80.119745
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1933",135,-78.473592
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1934",136,-78.149696
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1935",137,-78.677730
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1936",138,-81.046855
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1937",139,-75.153069
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1938",140,-82.249885
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1939",141,-78.648619
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1940",142,-78.780021
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1941",143,-81.394747
"complex_fold_8exl_pik3ca_wild_type_model_0_with_paclitaxel_sem_mutacoes - minimized - Frame 1942",144,-79.871463
