"frame","MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW"
3987,-25.14,39.46,16.39,-5.04,-6.93,-4.24,0.00,-33.02,-31.75
3988,-28.76,-2.96,2.53,-1.30,-7.14,-0.79,0.00,15.38,-34.49
3989,-50.40,-2.70,21.98,-3.97,-17.11,-1.99,0.00,13.68,-60.30
3990,-56.79,-21.59,7.95,-4.31,-12.14,-2.05,0.00,10.08,-34.73
3991,-36.56,3.02,9.44,-4.51,-5.45,-1.48,0.00,-7.62,-29.96
3992,-32.59,1.76,18.15,-5.66,-10.48,-1.29,0.00,8.96,-44.02
3993,-31.51,-5.96,4.09,-4.00,-8.07,-1.44,0.00,19.86,-35.99
3994,-51.37,-28.51,18.51,-7.31,-13.18,-0.22,0.00,21.80,-42.46
3995,-38.58,-20.95,12.16,-6.51,-7.05,-0.29,0.00,26.58,-42.52
3996,-31.44,2.71,8.37,-2.46,-5.22,-3.49,0.00,-8.55,-22.80
3997,-26.14,-5.53,-2.60,-0.62,-4.14,-4.46,0.00,11.02,-19.81
3998,-25.08,-8.26,5.95,-2.46,-8.07,-0.55,0.00,12.53,-24.23
3999,-39.89,-2.51,7.73,-2.43,-14.10,0.86,0.00,10.81,-40.26
4000,-23.32,6.24,3.81,-2.23,-5.87,-1.58,0.00,-1.84,-21.85
4001,-25.07,-1.16,4.91,-2.50,-5.56,-1.16,0.00,1.41,-21.01
